               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082285,            0.038571,            0.061571,             0.38499,             0.24826,              0.2523,             0.12542,            0.058217,            0.021377,            0.041267,            0.070152,           0.0033164,           0.0033164
                   1,            0.057572,            0.033867,            0.037238,             0.58454,                0.51,             0.51446,             0.24617,            0.056558,            0.019254,            0.025791,            0.039823,           0.0063206,           0.0063206
                   2,            0.055593,            0.032744,            0.027401,             0.60497,             0.54445,             0.54063,             0.25281,            0.054005,            0.019781,             0.02009,            0.009164,           0.0089948,           0.0089948
                   3,            0.051763,            0.033439,            0.023653,             0.62147,             0.52397,             0.55955,               0.302,            0.048116,            0.021217,            0.019466,            0.008515,            0.008515,            0.008515
                   4,            0.048423,            0.034208,            0.022306,             0.64574,              0.5303,             0.56348,             0.30486,            0.049013,            0.021332,            0.018838,            0.008515,            0.008515,            0.008515
                   5,            0.046997,            0.034646,            0.021034,             0.62575,             0.52619,             0.56425,             0.31077,            0.046496,            0.022088,            0.018369,             0.00802,             0.00802,             0.00802
                   6,             0.04518,            0.033769,            0.020494,             0.67937,             0.55003,             0.59565,             0.33858,            0.044944,            0.021599,            0.017669,            0.007525,            0.007525,            0.007525
                   7,            0.043916,             0.03366,            0.018639,             0.70565,             0.52579,             0.60551,             0.34156,            0.045483,            0.021855,            0.017666,             0.00703,             0.00703,             0.00703
                   8,            0.043304,            0.033156,            0.017908,               0.699,             0.55137,             0.60621,             0.35337,            0.044239,            0.021483,              0.0162,            0.006535,            0.006535,            0.006535
                   9,             0.04208,            0.033046,            0.016997,             0.67521,             0.55186,             0.59902,             0.35779,            0.043107,            0.021627,            0.016516,             0.00604,             0.00604,             0.00604
                  10,            0.041578,            0.032416,            0.015508,             0.67822,             0.57448,             0.61912,             0.36726,            0.042254,            0.021368,            0.016695,            0.005545,            0.005545,            0.005545
                  11,            0.040124,            0.031766,            0.014667,             0.71381,             0.55556,             0.63334,             0.38821,            0.042006,            0.021372,            0.015685,             0.00505,             0.00505,             0.00505
                  12,            0.039464,            0.031772,            0.014146,              0.6939,             0.59223,             0.63998,               0.391,            0.041334,            0.021407,            0.014692,            0.004555,            0.004555,            0.004555
                  13,            0.037566,            0.030487,              0.0132,             0.72038,             0.59358,             0.65701,              0.4124,            0.041269,             0.02107,            0.015032,             0.00406,             0.00406,             0.00406
                  14,            0.037468,            0.029956,            0.012809,             0.71184,             0.59204,             0.65291,             0.40653,            0.040315,            0.021064,             0.01368,            0.003565,            0.003565,            0.003565
                  15,            0.036875,            0.030293,            0.011658,             0.74977,             0.60338,             0.67092,             0.41294,            0.040212,            0.020798,            0.013836,             0.00307,             0.00307,             0.00307
                  16,            0.035523,            0.029835,            0.011294,             0.75549,             0.60554,             0.68256,             0.43045,            0.039613,            0.020769,            0.013313,            0.002575,            0.002575,            0.002575
                  17,            0.034697,            0.029001,            0.010695,             0.77183,             0.62094,             0.69068,             0.43475,             0.03885,            0.020797,            0.012777,             0.00208,             0.00208,             0.00208
                  18,            0.033756,            0.028951,           0.0098013,             0.77604,             0.61772,              0.7007,             0.45795,            0.038505,            0.020785,            0.012446,            0.001585,            0.001585,            0.001585
                  19,            0.033225,            0.027875,           0.0096833,             0.74528,             0.63572,             0.69703,             0.45298,            0.038324,            0.020922,            0.012892,             0.00109,             0.00109,             0.00109
